Conversion,Original Data
"1993/01","1,227,879"
"1993/02","1,380,410"
"1993/03","1,518,672"
"1993/04","1,626,422"
"1993/05","1,596,303"
"1993/06","1,611,957"
"1993/07","1,592,426"
"1993/08","1,435,781"
"1993/09","1,643,737"
"1993/10","1,409,285"
"1993/11","1,456,280"
"1993/12","1,638,487"
"1994/01","1,358,875"
"1994/02","1,311,843"
"1994/03","1,634,238"
"1994/04","1,665,091"
"1994/05","1,645,367"
"1994/06","1,860,269"
"1994/07","1,787,105"
"1994/08","1,682,350"
"1994/09","1,723,567"
"1994/10","1,839,932"
"1994/11","1,856,817"
"1994/12","2,187,343"
"1995/01","1,502,647"
"1995/02","1,600,531"
"1995/03","1,904,968"
"1995/04","1,844,397"
"1995/05","1,878,952"
"1995/06","2,114,543"
"1995/07","2,043,796"
"1995/08","2,147,301"
"1995/09","2,222,648"
"1995/10","2,337,667"
"1995/11","2,231,654"
"1995/12","2,302,370"
"1996/01","1,994,354"
"1996/02","1,856,042"
"1996/03","1,981,538"
"1996/04","1,824,778"
"1996/05","1,819,497"
"1996/06","1,799,260"
"1996/07","1,708,658"
"1996/08","1,575,508"
"1996/09","1,635,867"
"1996/10","1,822,542"
"1996/11","1,800,999"
"1996/12","1,851,420"
"1997/01","1,382,097"
"1997/02","1,421,291"
"1997/03","1,731,882"
"1997/04","1,826,614"
"1997/05","1,788,100"
"1997/06","1,995,501"
"1997/07","1,973,117"
"1997/08","1,789,822"
"1997/09","1,941,432"
"1997/10","1,899,462"
"1997/11","1,848,957"
"1997/12","2,027,158"
"1998/01","1,536,621"
"1998/02","1,669,458"
"1998/03","1,997,446"
"1998/04","1,983,477"
"1998/05","1,942,516"
"1998/06","1,852,084"
"1998/07","1,943,235"
"1998/08","1,820,848"
"1998/09","1,960,755"
"1998/10","1,986,768"
"1998/11","1,941,097"
"1998/12","2,170,802"
"1999/01","1,825,270"
"1999/02","1,810,966"
"1999/03","2,201,790"
"1999/04","2,292,098"
"1999/05","2,355,216"
"1999/06","2,632,502"
"1999/07","2,475,149"
"1999/08","2,371,424"
"1999/09","2,529,796"
"1999/10","2,742,025"
"1999/11","2,890,113"
"1999/12","3,348,304"
"2000/01","2,609,788"
"2000/02","2,554,310"
"2000/03","2,946,821"
"2000/04","2,698,030"
"2000/05","3,167,181"
"2000/06","3,214,983"
"2000/07","3,255,804"
"2000/08","3,267,078"
"2000/09","3,510,989"
"2000/10","3,471,765"
"2000/11","3,331,334"
"2000/12","3,582,547"
"2001/01","2,703,367"
"2001/02","2,502,469"
"2001/03","2,855,151"
"2001/04","2,427,542"
"2001/05","2,511,513"
"2001/06","2,669,877"
"2001/07","2,434,080"
"2001/08","2,586,478"
"2001/09","2,837,277"
"2001/10","2,593,947"
"2001/11","2,711,415"
"2001/12","2,377,681"
"2002/01","2,496,357"
"2002/02","2,267,664"
"2002/03","2,745,682"
"2002/04","2,754,209"
"2002/05","2,836,155"
"2002/06","2,381,102"
"2002/07","2,708,340"
"2002/08","2,745,115"
"2002/09","2,745,227"
"2002/10","3,110,799"
"2002/11","3,028,531"
"2002/12","2,961,009"
"2003/01","2,612,314"
"2003/02","2,383,518"
"2003/03","2,749,138"
"2003/04","2,807,775"
"2003/05","2,633,440"
"2003/06","2,803,208"
"2003/07","2,497,304"
"2003/08","2,585,266"
"2003/09","3,034,999"
"2003/10","3,425,960"
"2003/11","3,213,553"
"2003/12","3,472,927"
"2004/01","2,644,698"
"2004/02","3,097,012"
"2004/03","3,534,533"
"2004/04","3,544,623"
"2004/05","3,559,013"
"2004/06","4,106,098"
"2004/07","3,623,192"
"2004/08","3,470,222"
"2004/09","3,616,201"
"2004/10","4,037,438"
"2004/11","3,809,460"
"2004/12","3,806,704"
"2005/01","3,478,720"
"2005/02","2,943,673"
"2005/03","3,847,123"
"2005/04","3,461,143"
"2005/05","3,049,347"
"2005/06","3,281,114"
"2005/07","3,274,529"
"2005/08","3,254,946"
"2005/09","3,535,928"
"2005/10","3,602,662"
"2005/11","3,939,417"
"2005/12","3,673,983"
"2006/01","3,260,918"
"2006/02","3,145,899"
"2006/03","3,862,475"
"2006/04","3,538,737"
"2006/05","3,516,047"
"2006/06","3,787,495"
"2006/07","3,593,550"
"2006/08","3,551,040"
"2006/09","3,828,545"
"2006/10","3,304,223"
"2006/11","4,029,040"
"2006/12","3,765,533"
"2007/01","3,635,619"
"2007/02","3,704,008"
"2007/03","4,059,506"
"2007/04","3,844,902"
"2007/05","3,992,973"
"2007/06","3,846,283"
"2007/07","3,794,753"
"2007/08","3,515,831"
"2007/09","3,212,919"
"2007/10","4,224,090"
"2007/11","4,081,465"
"2007/12","3,853,754"
"2008/01","3,656,069"
"2008/02","3,358,817"
"2008/03","4,086,718"
"2008/04","4,235,371"
"2008/05","3,870,188"
"2008/06","4,215,345"
"2008/07","4,146,699"
"2008/08","3,549,423"
"2008/09","3,833,836"
"2008/10","4,434,727"
"2008/11","3,498,158"
"2008/12","3,491,260"
"2009/01","2,627,953"
"2009/02","2,743,835"
"2009/03","2,935,612"
"2009/04","3,270,306"
"2009/05","2,942,503"
"2009/06","3,278,597"
"2009/07","3,286,677"
"2009/08","3,143,716"
"2009/09","3,387,117"
"2009/10","3,190,152"
"2009/11","3,485,644"
"2009/12","3,357,742"
"2010/01","3,057,540"
"2010/02","3,406,385"
"2010/03","4,072,584"
"2010/04","4,338,593"
"2010/05","4,157,685"
"2010/06","4,466,323"
"2010/07","4,540,970"
"2010/08","4,050,745"
"2010/09","4,149,301"
"2010/10","4,777,593"
"2010/11","4,447,907"
"2010/12","4,350,433"
"2011/01","4,143,179"
"2011/02","3,812,274"
"2011/03","4,643,162"
"2011/04","5,094,083"
"2011/05","5,171,510"
"2011/06","4,969,269"
"2011/07","4,650,594"
"2011/08","4,322,256"
"2011/09","4,794,609"
"2011/10","4,604,885"
"2011/11","5,401,548"
"2011/12","4,600,334"
"2012/01","4,123,411"
"2012/02","5,619,301"
"2012/03","5,934,644"
"2012/04","5,307,363"
"2012/05","4,726,886"
"2012/06","4,977,490"
"2012/07","4,692,004"
"2012/08","4,221,898"
"2012/09","4,813,842"
"2012/10","4,438,501"
"2012/11","5,113,742"
"2012/12","4,555,475"
"2013/01","4,960,892"
"2013/02","5,002,518"
"2013/03","4,978,892"
"2013/04","5,347,295"
"2013/05","5,744,405"
"2013/06","5,292,652"
"2013/07","5,153,831"
"2013/08","4,973,463"
"2013/09","4,733,799"
"2013/10","5,465,244"
"2013/11","5,247,925"
"2013/12","5,151,571"
"2014/01","4,856,162"
"2014/02","4,664,001"
"2014/03","5,814,182"
"2014/04","6,376,334"
"2014/05","6,058,691"
"2014/06","6,086,844"
"2014/07","6,102,798"
"2014/08","5,318,312"
"2014/09","5,664,961"
"2014/10","6,798,528"
"2014/11","6,304,664"
"2014/12","6,239,395"
"2015/01","5,561,545"
"2015/02","5,021,264"
"2015/03","6,795,064"
"2015/04","6,204,676"
"2015/05","5,623,941"
"2015/06","6,503,944"
"2015/07","6,184,652"
"2015/08","5,059,167"
"2015/09","5,464,307"
"2015/10","6,011,443"
"2015/11","5,519,655"
"2015/12","5,882,444"
"2016/01","5,040,734"
"2016/02","5,222,510"
"2016/03","6,544,965"
"2016/04","5,823,758"
"2016/05","5,669,350"
"2016/06","6,053,159"
"2016/07","5,290,588"
"2016/08","4,818,513"
"2016/09","5,132,438"
"2016/10","5,401,982"
"2016/11","5,723,086"
"2016/12","5,741,228"
"2017/01","4,940,101"
"2017/02","5,312,453"
"2017/03","6,200,928"
"2017/04","6,035,663"
"2017/05","5,523,902"
"2017/06","5,980,992"
"2017/07","5,660,934"
"2017/08","5,952,844"
"2017/09","6,597,924"
"2017/10","4,726,842"
"2017/11","6,381,591"
"2017/12","5,295,553"
"2018/01","5,159,691"
"2018/02","4,682,548"
"2018/03","6,078,616"
"2018/04","5,942,114"
"2018/05","6,153,033"
"2018/06","6,421,518"
"2018/07","6,151,681"
"2018/08","6,048,102"
"2018/09","5,821,081"
"2018/10","6,980,164"
"2018/11","6,840,971"
"2018/12","6,440,415"
"2019/01","6,209,466"
"2019/02","5,442,457"
"2019/03","6,319,152"
"2019/04","6,158,443"
"2019/05","6,500,301"
"2019/06","6,249,176"
"2019/07","6,113,230"
"2019/08","5,619,803"
"2019/09","5,690,676"
"2019/10","6,357,758"
"2019/11","6,265,034"
"2019/12","6,418,400"
"2020/01","5,740,347"
"2020/02","5,931,572"
"2020/03","7,281,215"
"2020/04","5,277,226"
"2020/05","4,589,358"
"2020/06","5,735,515"
"2020/07","6,596,979"
"2020/08","5,581,925"
"2020/09","6,997,554"
"2020/10","6,562,209"
"2020/11","6,664,272"
"2020/12","7,157,647"
"2021/01","8,412,355"
"2021/02","6,396,235"
"2021/03","7,970,756"
"2021/04","7,557,229"
"2021/05","7,448,016"
"2021/06","8,717,226"
"2021/07","8,724,016"
"2021/08","7,704,224"
"2021/09","7,983,934"
"2021/10","8,066,783"
"2021/11","8,133,640"
"2021/12","8,787,542"
"2022/01","8,569,920"
"2022/02","7,740,905"
"2022/03","9,638,757"
"2022/04","9,605,726"
"2022/05","9,620,649"
"2022/06","9,768,741"
"2022/07","10,104,092"
"2022/08","8,751,247"
"2022/09","9,248,928"
"2022/10","8,591,668"
"2022/11","8,775,694"
"2022/12","9,349,378"
"2023/01","8,058,604"
"2023/02","8,991,831"
"2023/03","9,775,068"
"2023/04","9,181,047"
"2023/05","9,459,648"
"2023/06","9,599,198"
"2023/07","9,309,186"
"2023/08","8,959,141"
"2023/09","10,078,334"
"2023/10","10,059,689"
"2023/11","10,943,600"
"2023/12","11,280,989"
"2024/01","10,252,308"
"2024/02","9,809,053"
"2024/03","10,880,793"
"2024/04","11,400,587"
"2024/05","10,930,529"
"2024/06","11,295,693"
"2024/07","10,184,399"
"2024/08","9,937,504"
"2024/09","10,411,877"
"2024/10","10,394,328"
"2024/11","10,370,481"
"2024/12","11,893,820"
"2025/01","9,282,751"
"2025/02","9,890,980"
"2025/03","11,109,125"
"2025/04","10,606,714"
"2025/05","10,037,958"
"2025/06","11,204,319"
"2025/07","10,334,931"
"2025/08","8,740,428"
