Conversion,Original Data
"1993/01","1,424,132"
"1993/02","1,483,553"
"1993/03","1,504,021"
"1993/04","1,440,245"
"1993/05","1,404,976"
"1993/06","1,543,017"
"1993/07","1,592,187"
"1993/08","1,404,171"
"1993/09","1,500,383"
"1993/10","1,411,329"
"1993/11","1,606,186"
"1993/12","1,613,989"
"1994/01","1,598,380"
"1994/02","1,443,428"
"1994/03","1,686,993"
"1994/04","1,641,594"
"1994/05","1,702,869"
"1994/06","1,763,098"
"1994/07","1,821,606"
"1994/08","1,755,925"
"1994/09","1,897,479"
"1994/10","1,917,885"
"1994/11","2,107,392"
"1994/12","2,242,138"
"1995/01","2,036,291"
"1995/02","2,206,063"
"1995/03","2,552,581"
"1995/04","2,443,366"
"1995/05","2,690,011"
"1995/06","2,572,337"
"1995/07","2,726,984"
"1995/08","2,647,008"
"1995/09","2,611,384"
"1995/10","2,657,293"
"1995/11","2,647,010"
"1995/12","2,613,187"
"1996/01","2,791,295"
"1996/02","2,448,254"
"1996/03","3,000,124"
"1996/04","2,757,665"
"1996/05","2,844,809"
"1996/06","2,552,772"
"1996/07","2,828,554"
"1996/08","2,883,661"
"1996/09","2,418,821"
"1996/10","2,720,957"
"1996/11","2,802,995"
"1996/12","3,255,471"
"1997/01","2,452,218"
"1997/02","2,230,373"
"1997/03","2,936,211"
"1997/04","2,981,972"
"1997/05","2,757,704"
"1997/06","2,641,292"
"1997/07","2,790,804"
"1997/08","2,330,481"
"1997/09","2,303,184"
"1997/10","2,521,688"
"1997/11","2,235,735"
"1997/12","1,940,516"
"1998/01","1,450,611"
"1998/02","1,565,045"
"1998/03","1,815,480"
"1998/04","1,798,584"
"1998/05","1,684,766"
"1998/06","1,825,162"
"1998/07","1,573,990"
"1998/08","1,587,721"
"1998/09","1,738,825"
"1998/10","1,732,275"
"1998/11","1,707,241"
"1998/12","1,923,576"
"1999/01","1,942,965"
"1999/02","1,760,504"
"1999/03","2,136,022"
"1999/04","1,963,344"
"1999/05","2,168,503"
"1999/06","2,178,657"
"1999/07","2,052,239"
"1999/08","2,065,080"
"1999/09","2,001,303"
"1999/10","2,163,139"
"1999/11","2,151,838"
"1999/12","2,338,751"
"2000/01","2,217,025"
"2000/02","2,241,520"
"2000/03","2,607,380"
"2000/04","2,570,158"
"2000/05","2,634,243"
"2000/06","2,482,260"
"2000/07","2,424,239"
"2000/08","2,653,138"
"2000/09","2,415,664"
"2000/10","2,529,401"
"2000/11","2,325,280"
"2000/12","2,141,321"
"2001/01","2,235,579"
"2001/02","2,123,377"
"2001/03","2,108,802"
"2001/04","1,791,503"
"2001/05","1,800,274"
"2001/06","1,817,306"
"2001/07","1,838,915"
"2001/08","1,735,088"
"2001/09","1,691,564"
"2001/10","1,756,079"
"2001/11","1,723,564"
"2001/12","1,754,175"
"2002/01","1,776,760"
"2002/02","1,561,339"
"2002/03","1,822,128"
"2002/04","2,010,569"
"2002/05","1,981,674"
"2002/06","1,895,336"
"2002/07","2,212,904"
"2002/08","1,915,040"
"2002/09","1,878,522"
"2002/10","1,975,341"
"2002/11","1,907,191"
"2002/12","2,071,831"
"2003/01","2,061,359"
"2003/02","2,046,864"
"2003/03","2,164,393"
"2003/04","2,129,005"
"2003/05","1,984,946"
"2003/06","2,201,576"
"2003/07","2,021,059"
"2003/08","1,831,076"
"2003/09","1,902,124"
"2003/10","2,232,451"
"2003/11","2,027,467"
"2003/12","2,211,812"
"2004/01","1,920,993"
"2004/02","2,182,455"
"2004/03","2,453,066"
"2004/04","2,273,711"
"2004/05","2,402,048"
"2004/06","2,538,623"
"2004/07","2,378,642"
"2004/08","2,572,372"
"2004/09","2,407,137"
"2004/10","2,713,016"
"2004/11","2,313,863"
"2004/12","2,626,726"
"2005/01","2,602,001"
"2005/02","2,457,854"
"2005/03","2,671,754"
"2005/04","2,474,397"
"2005/05","2,401,004"
"2005/06","2,630,202"
"2005/07","2,571,218"
"2005/08","2,647,907"
"2005/09","2,357,418"
"2005/10","2,459,470"
"2005/11","2,567,368"
"2005/12","2,745,344"
"2006/01","2,550,570"
"2006/02","2,584,950"
"2006/03","2,987,784"
"2006/04","2,787,257"
"2006/05","2,745,301"
"2006/06","2,721,041"
"2006/07","2,814,719"
"2006/08","3,051,999"
"2006/09","3,050,814"
"2006/10","2,910,674"
"2006/11","2,789,530"
"2006/12","2,659,531"
