Date,export_USD,import_USD,year
1993-01-01,1227879,1424132,1993
1993-02-01,1380410,1483553,1993
1993-03-01,1518672,1504021,1993
1993-04-01,1626422,1440245,1993
1993-05-01,1596303,1404976,1993
1993-06-01,1611957,1543017,1993
1993-07-01,1592426,1592187,1993
1993-08-01,1435781,1404171,1993
1993-09-01,1643737,1500383,1993
1993-10-01,1409285,1411329,1993
1993-11-01,1456280,1606186,1993
1993-12-01,1638487,1613989,1993
1994-01-01,1358875,1598380,1994
1994-02-01,1311843,1443428,1994
1994-03-01,1634238,1686993,1994
1994-04-01,1665091,1641594,1994
1994-05-01,1645367,1702869,1994
1994-06-01,1860269,1763098,1994
1994-07-01,1787105,1821606,1994
1994-08-01,1682350,1755925,1994
1994-09-01,1723567,1897479,1994
1994-10-01,1839932,1917885,1994
1994-11-01,1856817,2107392,1994
1994-12-01,2187343,2242138,1994
1995-01-01,1502647,2036291,1995
1995-02-01,1600531,2206063,1995
1995-03-01,1904968,2552581,1995
1995-04-01,1844397,2443366,1995
1995-05-01,1878952,2690011,1995
1995-06-01,2114543,2572337,1995
1995-07-01,2043796,2726984,1995
1995-08-01,2147301,2647008,1995
1995-09-01,2222648,2611384,1995
1995-10-01,2337667,2657293,1995
1995-11-01,2231654,2647010,1995
1995-12-01,2302370,2613187,1995
1996-01-01,1994354,2791295,1996
1996-02-01,1856042,2448254,1996
1996-03-01,1981538,3000124,1996
1996-04-01,1824778,2757665,1996
1996-05-01,1819497,2844809,1996
1996-06-01,1799260,2552772,1996
1996-07-01,1708658,2828554,1996
1996-08-01,1575508,2883661,1996
1996-09-01,1635867,2418821,1996
1996-10-01,1822542,2720957,1996
1996-11-01,1800999,2802995,1996
1996-12-01,1851420,3255471,1996
1997-01-01,1382097,2452218,1997
1997-02-01,1421291,2230373,1997
1997-03-01,1731882,2936211,1997
1997-04-01,1826614,2981972,1997
1997-05-01,1788100,2757704,1997
1997-06-01,1995501,2641292,1997
1997-07-01,1973117,2790804,1997
1997-08-01,1789822,2330481,1997
1997-09-01,1941432,2303184,1997
1997-10-01,1899462,2521688,1997
1997-11-01,1848957,2235735,1997
1997-12-01,2027158,1940516,1997
1998-01-01,1536621,1450611,1998
1998-02-01,1669458,1565045,1998
1998-03-01,1997446,1815480,1998
1998-04-01,1983477,1798584,1998
1998-05-01,1942516,1684766,1998
1998-06-01,1852084,1825162,1998
1998-07-01,1943235,1573990,1998
