Date,3Y,10Y
2000-12-18,6.74,7.15
2000-12-19,6.75,7.2
2000-12-20,6.75,7.2
2000-12-21,6.75,7.24
2000-12-22,6.75,7.24
2000-12-26,6.75,7.25
2000-12-27,6.81,7.3
2000-12-28,6.74,7.26
2000-12-29,6.7,7.21
2001-01-02,6.67,7.18
2001-01-03,6.64,7.15
2001-01-04,6.37,6.85
2001-01-05,6.19,6.68
2001-01-08,6.1,6.6
2001-01-09,6.14,6.68
2001-01-10,6.14,6.69
2001-01-11,5.95,6.57
2001-01-12,6.0,6.6
2001-01-15,5.99,6.61
2001-01-16,5.86,6.6
2001-01-17,5.73,6.58
2001-01-18,5.8,6.53
2001-01-19,5.77,6.54
2001-01-22,5.77,6.54
2001-01-26,5.77,6.55
2001-01-29,5.75,6.55
2001-01-30,5.73,6.55
2001-01-31,5.68,6.54
2001-02-01,5.63,6.54
2001-02-02,5.48,6.48
2001-02-05,5.38,6.46
2001-02-06,5.28,6.42
2001-02-07,5.2,6.29
2001-02-08,5.25,6.27
2001-02-09,5.18,6.13
2001-02-12,5.0,5.93
2001-02-13,5.06,5.98
2001-02-14,5.19,6.03
2001-02-15,5.14,6.01
2001-02-16,5.32,6.1
2001-02-19,5.4,6.25
2001-02-20,5.4,6.23
2001-02-21,5.72,6.62
2001-02-22,5.66,6.75
2001-02-23,6.0,7.08
2001-02-26,5.87,6.99
2001-02-27,5.74,6.89
2001-02-28,5.43,6.49
2001-03-02,5.55,6.55
2001-03-05,5.58,6.58
2001-03-06,5.83,6.76
2001-03-07,6.04,7.01
2001-03-08,6.3,7.21
2001-03-09,5.99,7.03
2001-03-12,6.09,7.12
2001-03-13,6.09,7.12
2001-03-14,5.74,6.88
2001-03-15,5.57,6.75
2001-03-16,5.61,6.84
2001-03-19,5.64,6.9
2001-03-20,5.63,6.91
2001-03-21,5.71,7.05
2001-03-22,5.85,7.15
2001-03-23,5.76,7.09
2001-03-26,5.68,7.01
2001-03-27,5.72,7.02
2001-03-28,5.88,7.15
2001-03-29,6.12,7.32
2001-03-30,6.31,7.51
2001-04-02,6.66,7.76
2001-04-03,6.46,7.62
2001-04-04,6.7,7.82
2001-04-06,6.58,7.76
2001-04-09,6.5,7.72
2001-04-10,6.44,7.67
2001-04-11,6.4,7.63
2001-04-12,6.38,7.63
2001-04-13,6.4,7.62
2001-04-16,6.42,7.64
2001-04-17,6.4,7.63
2001-04-18,6.47,7.66
2001-04-19,6.48,7.66
2001-04-20,6.6,7.7
2001-04-23,6.72,7.82
2001-04-24,6.72,7.83
2001-04-25,6.75,7.85
2001-04-26,6.93,7.95
2001-04-27,6.85,7.9
2001-04-30,6.8,7.85
2001-05-02,6.57,7.64
2001-05-03,6.5,7.6
2001-05-04,6.45,7.58
2001-05-07,6.5,7.64
2001-05-08,6.47,7.63
2001-05-09,6.42,7.57
2001-05-10,6.43,7.57
2001-05-11,6.44,7.59
2001-05-14,6.54,7.65
2001-05-15,6.65,7.72
2001-05-16,6.61,7.73
2001-05-17,6.61,7.72
2001-05-18,6.59,7.7
2001-05-21,6.54,7.64
2001-05-22,6.53,7.62
2001-05-23,6.53,7.6
2001-05-24,6.4,7.51
2001-05-25,6.42,7.51
2001-05-28,6.26,7.4
2001-05-29,6.3,7.38
2001-05-30,6.16,7.29
2001-05-31,6.17,7.29
2001-06-01,6.15,7.28
2001-06-04,6.11,7.26
2001-06-05,6.23,7.34
2001-06-07,6.23,7.34
2001-06-08,6.1,7.25
2001-06-11,6.1,7.26
2001-06-12,6.13,7.28
2001-06-13,6.1,7.26
2001-06-14,6.07,7.24
2001-06-15,6.05,7.23
2001-06-18,6.14,7.39
2001-06-19,6.12,7.36
2001-06-20,6.0,7.16
2001-06-21,5.98,7.07
2001-06-22,5.93,7.01
2001-06-25,5.86,6.91
2001-06-26,5.89,6.91
2001-06-27,5.92,6.89
2001-06-28,5.9,6.8
2001-06-29,5.93,6.78
2001-07-02,5.96,6.84
2001-07-03,6.05,6.93
2001-07-04,6.03,6.93
2001-07-05,5.98,6.88
2001-07-06,5.92,6.87
